,Zip,ICD10
1926,907,27819.0
1927,958,13011.0
1928,906,
1929,926,24429.0
1930,927,17072.0
1931,926,8998.0
1932,986,12306.0
1933,781,28650.0
1934,920,
1935,211,12681.0
1936,944,3299.0
1937,930,
1938,953,37215.0
1939,940,27794.0
1940,953,27820.0
1941,939,
1942,936,3217.0
1943,940,9792.0
1944,940,108.0
1945,941,105.0
1946,941,12904.0
1947,940,12774.0
1948,940,28495.0
1949,940,8940.0
1950,940,36562.0
1951,945,25111.0
1952,945,
1953,945,23526.0
1954,945,15066.0
1955,950,25118.0
1956,953,15562.0
1957,953,27823.0
1958,934,24941.0
1959,931,
1960,931,
1961,937,36557.0
1962,936,
1963,923,12682.0
1964,853,25046.0
1965,934,9782.0
1966,945,
1967,950,262.0
1968,950,16837.0
1969,951,27818.0
1970,928,978.0
1971,925,
1972,908,15397.0
1973,922,9295.0
1974,820,369.0
1975,871,
1976,900,12682.0
1977,112,
1978,975,38327.0
1979,339,3217.0
1980,775,9788.0
1981,920,15092.0
1982,917,
1983,906,15080.0
1984,928,
1985,939,8950.0
1986,913,2848.0
1987,945,16843.0
1988,945,37673.0
1989,70,37202.0
1990,681,24834.0
1991,681,37693.0
1992,945,8969.0
1993,917,27794.0
1994,912,37715.0
1995,917,198.0
1996,913,2846.0
1997,911,28478.0
1998,911,3257.0
1999,926,27818.0
2000,953,
2001,932,
2002,932,13080.0
2003,953,
2004,18,9015.0
2005,64,32847.0
2006,83,37713.0
2007,906,37335.0
2008,926,
2009,928,8997.0
2010,900,23994.0
2011,920,31706.0
2012,30,5808.0
2013,35,
2014,25,37715.0
2015,27,27820.0
2016,301,28426.0
2017,952,12898.0
2018,945,
2019,17,25073.0
2020,953,30724.0
2021,945,
2022,953,41291.0
2023,953,9786.0
2024,953,
2025,953,12890.0
2026,953,3969.0
2027,774,9783.0
2028,945,36562.0
2029,954,30628.0
2030,664,
2031,404,12335.0
2032,928,16844.0
2033,934,28426.0
2034,936,480.0
2035,937,28431.0
2036,937,37651.0
2037,907,9129.0
2038,907,9782.0
2039,907,27788.0
2040,913,37567.0
2041,900,37718.0
2042,902,16843.0
2043,940,23989.0
2044,940,16844.0
2045,941,16813.0
2046,944,15087.0
2047,945,2839.0
2048,951,4353.0
2049,508,
2050,939,31706.0
2051,940,9783.0
2052,939,
2053,945,
2054,940,24976.0
2055,950,24837.0
2056,945,37504.0
2057,945,27812.0
2058,947,
2059,937,30667.0
2060,953,24016.0
2061,951,37715.0
2062,192,
2063,786,38564.0
2064,953,
2065,953,28590.0
2066,770,9792.0
2067,760,37717.0
2068,679,
2069,861,
2070,872,
2071,869,
2072,900,15065.0
2073,902,36562.0
2074,921,27819.0
2075,223,27776.0
2076,919,13010.0
2077,920,
2078,207,
2079,920,16963.0
2080,956,
2081,891,
2082,165,
2083,676,
2084,282,15103.0
2085,88,37715.0
2086,367,
2087,923,17019.0
2088,925,29477.0
2089,906,
2090,454,2865.0
2091,934,27782.0
2092,450,27777.0
2093,840,3217.0
2094,902,9181.0
2095,917,
2096,917,12684.0
2097,917,9786.0
2098,922,36359.0
2099,923,
2100,923,15703.0
2101,924,8997.0
2102,902,16824.0
2103,112,
2104,906,3217.0
2105,100,16843.0
2106,100,37395.0
2107,112,446.0
2108,937,12893.0
2109,939,
2110,234,15085.0
2111,921,
2112,920,16823.0
2113,920,37672.0
2114,908,
2115,921,2840.0
2116,921,27777.0
2117,952,12780.0
2118,952,12894.0
2119,950,
2120,950,36562.0
2121,913,
2122,913,32847.0
2123,925,2839.0
2124,917,36549.0
2125,926,274.0
2126,927,27819.0
2127,917,
2128,926,12681.0
2129,174,9811.0
2130,175,17601.0
2131,905,12987.0
2132,805,34177.0
2133,932,27794.0
2134,925,34176.0
2135,922,15090.0
2136,923,9237.0
2137,923,9130.0
2138,923,9811.0
2139,923,8997.0
2140,925,30423.0
2141,922,30651.0
2142,936,37686.0
2143,927,
2144,926,3299.0
2145,926,37613.0
2146,926,31718.0
2147,930,9253.0
2148,930,109.0
2149,930,2847.0
2150,930,
2151,930,3323.0
2152,930,3475.0
2153,930,8988.0
2154,930,37504.0
2155,930,38565.0
2156,930,37684.0
2157,930,2932.0
2158,928,28423.0
2159,907,
2160,923,23987.0
2161,913,37672.0
2162,928,12684.0
2163,930,9237.0
2164,926,37357.0
2165,925,27776.0
2166,891,4425.0
2167,911,9802.0
2168,922,15094.0
2169,922,17601.0
2170,960,27795.0
2171,960,
2172,960,447.0
2173,960,
2174,936,
2175,945,15191.0
2176,941,3796.0
2177,941,
2178,941,
2179,951,4425.0
2180,954,31715.0
2181,926,28423.0
2182,770,
2183,908,31714.0
2184,841,15239.0
2185,80,12824.0
2186,926,
2187,928,12554.0
2188,927,8997.0
2189,926,27795.0
2190,840,37713.0
2191,840,27794.0
2192,908,
2193,926,
2194,941,37666.0
2195,949,
2196,330,3284.0
2197,333,37659.0
2198,333,12898.0
2199,900,37715.0
2200,937,8978.0
2201,939,395.0
2202,939,
2203,939,9811.0
2204,919,
2205,920,12685.0
2206,925,36549.0
2207,925,9140.0
2208,928,15077.0
2209,920,395.0
2210,930,9785.0
2211,930,12558.0
2212,853,108.0
2213,922,15340.0
2214,853,
2215,921,12610.0
2216,786,
2217,958,38317.0
2218,946,15235.0
2219,945,37760.0
2220,940,27783.0
2221,980,
2222,981,24478.0
2223,913,24429.0
2224,950,
2225,953,7978.0
2226,953,9811.0
2227,953,34854.0
2228,900,31706.0
2229,60,25068.0
2230,922,
2231,922,
2232,716,
2233,716,8997.0
2234,553,27794.0
2235,275,15238.0
2236,112,8988.0
2237,924,108.0
2238,945,8971.0
2239,959,15360.0
2240,945,28419.0
2241,945,37175.0
2242,944,27800.0
2243,949,446.0
2244,853,12628.0
2245,786,12824.0
2246,960,27819.0
2247,852,15241.0
2248,945,12774.0
2249,939,16836.0
2250,939,17024.0
2251,511,
2252,251,
2253,169,
2254,926,9783.0
2255,80,13149.0
2256,958,34167.0
2257,957,37715.0
2258,822,
2259,926,
2260,64,9783.0
2261,438,
2262,333,16813.0
2263,787,34232.0
2264,601,37069.0
2265,970,9802.0
2266,939,37690.0
2267,939,9802.0
2268,931,9805.0
2269,930,3217.0
2270,132,31706.0
2271,850,27812.0
2272,538,
2273,149,
2274,919,27819.0
2275,853,25068.0
2276,955,38326.0
2277,941,12992.0
2278,945,30628.0
2279,937,37485.0
2280,809,203.0
2281,112,15626.0
2282,894,2742.0
2283,945,12783.0
2284,953,16843.0
2285,932,438.0
2286,956,32847.0
2287,952,24800.0
2288,944,
2289,461,12681.0
2290,575,
2291,923,
2292,907,4102.0
2293,934,108.0
2294,934,15579.0
2295,920,108.0
2296,925,15077.0
2297,852,37720.0
2298,937,
2299,953,
2300,926,24551.0
2301,906,15395.0
2302,781,28500.0
2303,917,401.0
2304,786,15350.0
2305,919,
