,Zip,ICD10
589,506,
590,895,
591,956,27820.0
592,953,37624.0
593,953,16856.0
594,959,
595,945,4103.0
596,105,
597,107,
598,101,
599,688,
600,113,
601,248,
602,687,
603,690,
604,104,
605,682,
606,106,
607,702,
608,700,
609,790,
610,571,
611,103,
612,796,
613,720,
614,772,
615,114,
616,110,
617,543,
618,188,
619,953,12778.0
620,917,108.0
621,431,
622,920,13011.0
623,864,980.0
624,923,34177.0
625,923,108.0
626,864,31718.0
627,890,108.0
628,926,32847.0
629,900,15202.0
630,371,9802.0
631,384,16918.0
632,383,
633,174,394.0
634,176,
635,390,
636,392,
637,779,
638,941,3269.0
639,951,31915.0
640,954,27796.0
641,951,15073.0
642,941,15382.0
643,946,27795.0
644,949,
645,665,
646,895,37219.0
647,894,12682.0
648,714,
649,728,
650,319,
651,423,
652,901,
653,177,
654,292,
655,711,
656,261,
657,485,
658,487,
659,611,
660,570,
661,921,27796.0
662,933,9011.0
663,932,34167.0
664,932,34169.0
665,932,37684.0
666,936,448.0
667,932,
668,132,
669,852,12681.0
670,852,
671,191,
672,408,
673,917,5800.0
674,924,
675,959,9792.0
676,249,
677,913,16813.0
678,913,17060.0
679,913,107.0
680,927,108.0
681,236,
682,237,
683,926,
684,233,
685,929,
686,43,
687,922,27819.0
688,922,12603.0
689,922,13138.0
690,925,36562.0
691,922,30645.0
692,917,
693,298,
694,596,
695,478,
696,239,
697,917,28434.0
698,856,
699,875,
700,656,
701,61,
702,144,
703,358,
704,65,
705,928,
706,907,24012.0
707,907,8997.0
708,927,3943.0
709,618,
710,922,15542.0
711,950,27820.0
712,825,
713,932,369.0
714,680,2865.0
715,833,9792.0
716,807,
717,515,
718,691,
719,42,
720,138,
721,133,
722,49,
723,136,
724,137,
725,134,
726,135,
727,501,
728,941,15015.0
729,941,108.0
730,941,4444.0
731,941,
732,941,
733,941,
734,960,27778.0
735,960,
736,960,
737,960,
738,960,
739,960,8987.0
740,960,15292.0
741,960,15357.0
742,0,
743,766,
744,798,
745,69,
746,913,27820.0
747,900,9335.0
748,667,
749,893,
750,827,
751,831,
752,718,
753,599,
754,629,
755,713,
756,991,
757,898,
758,443,
759,874,
760,592,
761,344,
762,498,
763,650,
764,582,
765,744,
766,625,
767,374,
768,811,
769,475,
770,139,
771,747,
772,433,
773,439,
774,655,
775,514,
776,725,
777,877,
778,526,
779,939,12558.0
780,939,24969.0
781,939,15545.0
782,939,
783,285,
784,950,
785,956,3298.0
786,120,
787,122,
788,922,24981.0
789,922,15109.0
790,922,
791,128,
792,68,
793,797,
794,92,
795,729,
796,756,
797,794,
798,522,
799,778,
800,795,
801,722,
802,741,
803,62,
804,905,
805,917,975.0
806,564,
807,906,3341.0
808,371,37672.0
809,950,24551.0
810,950,
811,950,36550.0
812,954,12559.0
813,902,12902.0
814,913,15285.0
815,913,34169.0
816,903,15382.0
817,928,2865.0
818,906,39571.0
819,335,24835.0
820,928,3217.0
821,928,12890.0
822,145,
823,33,37201.0
824,50,37651.0
825,489,
826,66,
827,926,9385.0
