ICD10,ICD10_Numeric
C969,484
C96A,485
D0000,486
D0001,487
D0002,488
D0003,489
D0004,490
D0005,491
D0006,492
D0007,493
D0008,494
D020,495
D100,496
D101,497
D102,498
D1030,499
D1039,500
D104,501
D105,502
D106,503
D107,504
D109,505
D110,506
D117,507
D119,508
D140,509
D141,510
D164,511
D165,512
D1800,513
D1801,514
D1809,515
D34,516
D3701,517
D3702,518
D37030,519
D37031,520
D37032,521
D37039,522
D3704,523
D3705,524
D3709,525
D380,526
E034,527
E041,528
E0500,529
E0501,530
E0510,531
E0511,532
E0520,533
E0521,534
E0530,535
E0531,536
E0540,537
E0541,538
E0580,539
E0581,540
E0590,541
E0591,542
E060,543
E061,544
E062,545
E063,546
E064,547
E065,548
E069,549
E0789,550
E079,551
E35,552
G4720,553
G4721,554
G4722,555
G4723,556
G4724,557
G4725,558
G4726,559
G4727,560
G4729,561
G4730,562
G4731,563
G4732,564
G4733,565
G4734,566
G4735,567
G4736,568
G4737,569
G4739,570
G4750,571
G4751,572
G4752,573
G4753,574
G4754,575
G4759,576
G4761,577
G4762,578
G4763,579
G4769,580
G478,581
J00,582
J020,583
J028,584
J029,585
J0300,586
J0301,587
J0380,588
J0381,589
J0390,590
J0391,591
J040,592
J042,593
J0430,594
J0431,595
J050,596
J0510,597
J0511,598
J060,599
J069,600
J311,601
J312,602
J342,603
J3501,604
J3502,605
J3503,606
J351,607
J352,608
J353,609
J358,610
J359,611
J36,612
J370,613
J371,614
J3800,615
J3801,616
J3802,617
J381,618
J382,619
J383,620
J384,621
J385,622
J386,623
J387,624
J390,625
J391,626
J392,627
J393,628
J398,629
J399,630
J9500,631
J9501,632
J9502,633
J9503,634
J9504,635
J9509,636
J9801,637
J9809,638
K000,639
K001,640
K002,641
K003,642
K004,643
K005,644
K006,645
K007,646
K008,647
K009,648
K010,649
K011,650
K023,651
K0251,652
K0252,653
K0253,654
K0261,655
K0262,656
K0263,657
K027,658
K029,659
K030,660
K031,661
K032,662
K033,663
K034,664
K035,665
K036,666
K037,667
K0381,668
K0389,669
K039,670
K040,671
K041,672
K042,673
K043,674
K044,675
K045,676
K046,677
K047,678
K048,679
K0490,680
K0499,681
K0500,682
K0501,683
K0510,684
K0511,685
K0520,686
K0521,687
K0522,688
K0530,689
K0531,690
K0532,691
K054,692
K055,693
K056,694
K060,695
K061,696
K062,697
K068,698
K069,699
K080,700
K08101,701
K08102,702
K08103,703
K08104,704
K08109,705
K08111,706
K08112,707
K08113,708
K08114,709
K08119,710
K08121,711
K08122,712
K08123,713
K08124,714
K08129,715
K08131,716
K08132,717
K08133,718
K08134,719
K08139,720
K08191,721
K08192,722
K08193,723
K08194,724
K08199,725
K0820,726
031H09G,727
031H0AG,728
031H0JG,729
031H0KG,730
031H0ZG,731
031J09G,732
031J0AG,733
031J0JG,734
031J0KG,735
031J0ZG,736
031S09G,737
031S0AG,738
031S0JG,739
031S0KG,740
031S0ZG,741
031T09G,742
031T0AG,743
031T0JG,744
031T0KG,745
031T0ZG,746
035G0ZZ,747
035G3ZZ,748
035G4ZZ,749
03BG0ZZ,750
03BG3ZZ,751
03BG4ZZ,752
03CG0ZZ,753
03CG4ZZ,754
03LG0BZ,755
03LG0CZ,756
03LG0DZ,757
03LG0ZZ,758
03LG3BZ,759
03LG3CZ,760
03LG3DZ,761
03LG3ZZ,762
03LG4BZ,763
03LG4CZ,764
03LG4DZ,765
03LG4ZZ,766
03LH0BZ,767
03LH0DZ,768
03LH3BZ,769
03LH3DZ,770
03LH4BZ,771
03LH4DZ,772
03LJ0BZ,773
03LJ0DZ,774
03LJ3BZ,775
03LJ3DZ,776
03LJ4BZ,777
03LJ4DZ,778
03LK0BZ,779
03LK0CZ,780
03LK0DZ,781
03LK0ZZ,782
03LK3BZ,783
03LK3CZ,784
03LK3DZ,785
03LK3ZZ,786
03LK4BZ,787
03LK4CZ,788
03LK4DZ,789
03LK4ZZ,790
03LL0BZ,791
03LL0CZ,792
03LL0DZ,793
03LL0ZZ,794
03LL3BZ,795
03LL3CZ,796
03LL3DZ,797
03LL3ZZ,798
03LL4BZ,799
03LL4CZ,800
03LL4DZ,801
03LL4ZZ,802
03LM0BZ,803
03LM0DZ,804
03LM3BZ,805
03LM3DZ,806
03LM4BZ,807
03LM4DZ,808
03LN0BZ,809
03LN0DZ,810
03LN3BZ,811
03LN3DZ,812
03LN4BZ,813
03LN4DZ,814
03LP0BZ,815
03LP0DZ,816
03LP3BZ,817
03LP3DZ,818
03LP4BZ,819
03LP4DZ,820
03LQ0BZ,821
03LQ0DZ,822
03LQ3BZ,823
03LQ3DZ,824
03LQ4BZ,825
03LQ4DZ,826
03LR0DZ,827
03LR3DZ,828
03LR4DZ,829
03LS0DZ,830
03LS3DZ,831
03LS4DZ,832
03LT0DZ,833
03LT3DZ,834
03LT4DZ,835
03RG07Z,836
03RG0JZ,837
03RG0KZ,838
03RG47Z,839
03RG4JZ,840
03RG4KZ,841
03VG0BZ,842
03VG0CZ,843
03VG0DZ,844
03VG0ZZ,845
03VG3BZ,846
03VG3CZ,847
03VG3DZ,848
03VG3ZZ,849
03VG4BZ,850
03VG4CZ,851
03VG4DZ,852
03VG4ZZ,853
03VH0BZ,854
03VH0DZ,855
03VH3BZ,856
03VH3DZ,857
03VH4BZ,858
03VH4DZ,859
03VJ0BZ,860
03VJ0DZ,861
03VJ3BZ,862
03VJ3DZ,863
03VJ4BZ,864
03VJ4DZ,865
03VK0BZ,866
03VK0CZ,867
03VK0DZ,868
03VK3BZ,869
03VK3CZ,870
03VK3DZ,871
03VK4BZ,872
03VK4CZ,873
03VK4DZ,874
03VL0BZ,875
03VL0CZ,876
03VL0DZ,877
03VL3BZ,878
03VL3CZ,879
03VL3DZ,880
03VL4BZ,881
03VL4CZ,882
03VL4DZ,883
03VM0BZ,884
03VM0DZ,885
03VM3BZ,886
03VM3DZ,887
03VM4BZ,888
03VM4DZ,889
03VN0BZ,890
03VN0DZ,891
03VN3BZ,892
03VN3DZ,893
03VN4BZ,894
03VN4DZ,895
03VP0BZ,896
03VP0DZ,897
03VP3BZ,898
03VP3DZ,899
03VP4BZ,900
03VP4DZ,901
03VQ0BZ,902
03VQ0DZ,903
03VQ3BZ,904
03VQ3DZ,905
03VQ4BZ,906
03VQ4DZ,907
03VR0DZ,908
03VR3DZ,909
03VR4DZ,910
03VS0DZ,911
03VS3DZ,912
03VS4DZ,913
03VT0DZ,914
03VT3DZ,915
03VT4DZ,916
03VU0DZ,917
03VU3DZ,918
03VU4DZ,919
03VV0DZ,920
03VV3DZ,921
03VV4DZ,922
055L0ZZ,923
055L3ZZ,924
055L4ZZ,925
05BL0ZZ,926
05BL3ZZ,927
05BL4ZZ,928
05CL0ZZ,929
05CL4ZZ,930
05LL0CZ,931
05LL0DZ,932
05LL0ZZ,933
05LL3CZ,934
05LL3DZ,935
05LL3ZZ,936
05LL4CZ,937
05LL4DZ,938
05LL4ZZ,939
05RL07Z,940
05RL0JZ,941
05RL0KZ,942
05RL47Z,943
05RL4JZ,944
05RL4KZ,945
05VL0CZ,946
05VL0DZ,947
05VL0ZZ,948
05VL3CZ,949
05VL3DZ,950
05VL3ZZ,951
05VL4CZ,952
05VL4DZ,953
05VL4ZZ,954
I6000,955
I6001,956
I6002,957
I6010,958
I6011,959
I6012,960
I6020,961
I6021,962
I6022,963
I6030,964
I6031,965
I6032,966
I604,967
I6050,968
I6051,969
I6052,970
I606,971
I607,972
I608,973
I609,974
I610,975
I611,976
I612,977
I613,978
I614,979
I615,980
I616,981
I618,982
I619,983
I6200,984
I6201,985
I6202,986
I6203,987
I621,988
I629,989
001607B,990
00160JB,991
00160KB,992
001637B,993
00163JB,994
00163KB,995
00500ZZ,996
00503ZZ,997
00504ZZ,998
00510ZZ,999
00513ZZ,1000
00514ZZ,1001
00520ZZ,1002
00523ZZ,1003
00524ZZ,1004
00560ZZ,1005
00563ZZ,1006
00564ZZ,1007
00570ZZ,1008
00573ZZ,1009
00574ZZ,1010
00580ZZ,1011
00583ZZ,1012
00584ZZ,1013
00590ZZ,1014
00593ZZ,1015
00594ZZ,1016
005A0ZZ,1017
005A3ZZ,1018
005A4ZZ,1019
005B0ZZ,1020
005B3ZZ,1021
005B4ZZ,1022
005C0ZZ,1023
005C3ZZ,1024
005C4ZZ,1025
005D0ZZ,1026
005D3ZZ,1027
005D4ZZ,1028
00800ZZ,1029
00803ZZ,1030
00804ZZ,1031
00870ZZ,1032
00873ZZ,1033
00874ZZ,1034
00880ZZ,1035
00883ZZ,1036
00884ZZ,1037
008P0ZZ,1038
008P3ZZ,1039
008P4ZZ,1040
009000Z,1041
00900ZX,1042
00900ZZ,1043
009030Z,1044
00903ZZ,1045
009040Z,1046
00904ZZ,1047
009100Z,1048
00910ZX,1049
00910ZZ,1050
009200Z,1051
00920ZX,1052
00920ZZ,1053
009300Z,1054
00930ZX,1055
00930ZZ,1056
009330Z,1057
00933ZZ,1058
009340Z,1059
00934ZZ,1060
009400Z,1061
00940ZX,1062
00940ZZ,1063
009500Z,1064
00950ZX,1065
00950ZZ,1066
009600Z,1067
00960ZX,1068
00960ZZ,1069
009630Z,1070
009640Z,1071
009700Z,1072
00970ZX,1073
00970ZZ,1074
009730Z,1075
00973ZZ,1076
009740Z,1077
00974ZZ,1078
009800Z,1079
00980ZX,1080
00980ZZ,1081
009830Z,1082
00983ZZ,1083
009840Z,1084
00984ZZ,1085
009900Z,1086
00990ZX,1087
00990ZZ,1088
009930Z,1089
00993ZZ,1090
009940Z,1091
00994ZZ,1092
009A00Z,1093
009A0ZX,1094
009A0ZZ,1095
009A30Z,1096
009A3ZZ,1097
009A40Z,1098
009A4ZZ,1099
009B00Z,1100
009B0ZX,1101
009B0ZZ,1102
009B30Z,1103
009B3ZZ,1104
009B40Z,1105
009B4ZZ,1106
009C00Z,1107
009C0ZX,1108
009C0ZZ,1109
009C30Z,1110
009C3ZZ,1111
009C40Z,1112
009C4ZZ,1113
009D00Z,1114
009D0ZX,1115
009D0ZZ,1116
009D30Z,1117
009D3ZZ,1118
009D40Z,1119
009D4ZZ,1120
00B00ZX,1121
00B00ZZ,1122
00B03ZZ,1123
00B04ZZ,1124
00B10ZX,1125
00B10ZZ,1126
00B13ZZ,1127
00B14ZZ,1128
00B20ZX,1129
00B20ZZ,1130
00B23ZZ,1131
00B24ZZ,1132
00B60ZX,1133
00B60ZZ,1134
00B63ZZ,1135
00B64ZZ,1136
00B70ZX,1137
00B70ZZ,1138
00B73ZZ,1139
00B74ZZ,1140
00B80ZX,1141
00B80ZZ,1142
00B83ZZ,1143
00B84ZZ,1144
00B90ZX,1145
00B90ZZ,1146
00B93ZZ,1147
00B94ZZ,1148
00BA0ZX,1149
00BA0ZZ,1150
00BA3ZZ,1151
00BA4ZZ,1152
00BB0ZX,1153
00BB0ZZ,1154
00BB3ZZ,1155
00BB4ZZ,1156
00BC0ZX,1157
00BC0ZZ,1158
00BC3ZZ,1159
00BC4ZZ,1160
00BD0ZX,1161
00BD0ZZ,1162
00BD3ZZ,1163
00BD4ZZ,1164
00BN0ZZ,1165
00C00ZZ,1166
00C03ZZ,1167
00C04ZZ,1168
00C10ZZ,1169
00C13ZZ,1170
00C14ZZ,1171
00C20ZZ,1172
00C23ZZ,1173
00C24ZZ,1174
00C30ZZ,1175
00C33ZZ,1176
00C34ZZ,1177
00C40ZZ,1178
00C43ZZ,1179
00C44ZZ,1180
00C50ZZ,1181
00C53ZZ,1182
00C54ZZ,1183
00C60ZZ,1184
00C63ZZ,1185
00C64ZZ,1186
00C70ZZ,1187
00C73ZZ,1188
00C74ZZ,1189
00C80ZZ,1190
00C83ZZ,1191
00C84ZZ,1192
00C90ZZ,1193
00C93ZZ,1194
00C94ZZ,1195
00CA0ZZ,1196
00CA3ZZ,1197
00CA4ZZ,1198
00CB0ZZ,1199
00CB3ZZ,1200
00CB4ZZ,1201
00CC0ZZ,1202
00CC3ZZ,1203
00CC4ZZ,1204
00CD0ZZ,1205
00CD3ZZ,1206
00CD4ZZ,1207
00D10ZZ,1208
00D13ZZ,1209
00D14ZZ,1210
00D20ZZ,1211
00D23ZZ,1212
00D24ZZ,1213
00F30ZZ,1214
00F33ZZ,1215
00F34ZZ,1216
00F40ZZ,1217
00F43ZZ,1218
00F44ZZ,1219
00F50ZZ,1220
00F53ZZ,1221
00F54ZZ,1222
00F60ZZ,1223
00F63ZZ,1224
00F64ZZ,1225
00H002Z,1226
00H003Z,1227
00H00MZ,1228
00H032Z,1229
00H033Z,1230
00H03MZ,1231
00H042Z,1232
00H043Z,1233
00H04MZ,1234
00H602Z,1235
00H603Z,1236
00H60MZ,1237
00H632Z,1238
00H633Z,1239
00H63MZ,1240
00H642Z,1241
00H643Z,1242
00H64MZ,1243
00J00ZZ,1244
00J03ZZ,1245
00J04ZZ,1246
00K00ZZ,1247
00K03ZZ,1248
00K04ZZ,1249
00K70ZZ,1250
00K73ZZ,1251
00K74ZZ,1252
00K80ZZ,1253
00K83ZZ,1254
00K84ZZ,1255
00K90ZZ,1256
00K93ZZ,1257
00K94ZZ,1258
00KA0ZZ,1259
00KA3ZZ,1260
00KA4ZZ,1261
00KB0ZZ,1262
00KB3ZZ,1263
00KB4ZZ,1264
00KC0ZZ,1265
00KC3ZZ,1266
00KC4ZZ,1267
00KD0ZZ,1268
00KD3ZZ,1269
00KD4ZZ,1270
00N00ZZ,1271
00N03ZZ,1272
00N04ZZ,1273
00N10ZZ,1274
