PlcPolicyId,Cigna,Blue_Shield,Blue_Cross,Anthem,Aetna
7067215,,1,,,
7067222,,1,,,
7067625,,1,,,
7068040,,1,,,
7068373,,1,,,
7068401,,1,,,
7068445,,1,,,
7068692,,1,,,
7068709,,1,,,
7068722,,1,,,
7069106,,1,,,
7069164,,1,,,
7069262,,1,,,
7069371,,1,,,
7069599,,1,,,
7069673,,1,,,
7069772,,1,,,
7071293,,1,,,
7072153,,1,,,
7074667,,1,,,
7055404,,,1,,
7055885,,,1,,
7053991,,,1,,
7041991,,,1,,
7042080,,,1,,
7042672,,,1,,
7043087,,,1,,
7043263,,,1,,
7043445,,,1,,
7043455,,,1,,
7043812,,,1,,
7043932,,,1,,
7044043,,,1,,
7044211,,,1,,
7044268,,,1,,
7044583,,,1,,
7044885,,,1,,
7045255,,,1,,
7045295,,,1,,
7045415,,,1,,
7045438,,,1,,
7045450,,,1,,
7045574,,,1,,
7045628,,,1,,
7045717,,,1,,
7045962,,,1,,
7046006,,,1,,
7046125,,,1,,
7046243,,,1,,
7046441,,,1,,
7046640,,,1,,
7046818,,,1,,
7046826,,,1,,
7047022,,,1,,
7047619,,,1,,
7047810,,,1,,
7047915,,,1,,
7048012,,,1,,
7048066,,,1,,
7048203,,,1,,
7048212,,,1,,
7048245,,,1,,
7048313,,,1,,
7048762,,,1,,
7048885,,,1,,
7048916,,,1,,
7048930,,,1,,
7049103,,,1,,
7049163,,,1,,
7049472,,,1,,
7049475,,,1,,
7049761,,,1,,
7049828,,,1,,
7049937,,,1,,
7049994,,,1,,
7050069,,,1,,
7050108,,,1,,
7050181,,,1,,
7050202,,,1,,
7050215,,,1,,
7050312,,,1,,
7050342,,,1,,
7050574,,,1,,
7050641,,,1,,
7050778,,,1,,
7050791,,,1,,
7050807,,,1,,
7050860,,,1,,
7050870,,,1,,
7051052,,,1,,
7051099,,,1,,
7051684,,,1,,
7052322,,,1,,
7052733,,,1,,
7052785,,,1,,
7052911,,,1,,
7053091,,,1,,
7053254,,,1,,
7053275,,,1,,
7053412,,,1,,
7053679,,,1,,
